screen_name,text,date,neg,neu,pos,compound
FRIDAY4FUTURE,"RT @Greenpeace: “If done well, implementing social protection measures can bring multiple development benefits, strengthen resilience and r…",2021-02-08 11:06:53,0.0,0.682,0.318,0.7184
FRIDAY4FUTURE,"RT @Galacticafound: Today they are 2,635 graduates from 608 #universities and #schools saying #STOP, let’s #ACT ! Join us and support them…",2021-02-08 10:58:47,0.108,0.7,0.191,0.3091
FRIDAY4FUTURE,RT @guardianeco: Australia's electric vehicle policy steers us to a future based on fossil fuels. It needs to be dumped | Simon Holmes à Co…,2021-02-08 10:58:35,0.101,0.899,0.0,-0.4019
FRIDAY4FUTURE,RT @dw_environment: Eating less meat is just one resolution you could follow through on. The meat and diary sector are major contributors t…,2021-02-08 10:55:35,0.0,1.0,0.0,0.0
FRIDAY4FUTURE,"RT @sumuelahi: PM Imran Khan announced not to approve any more coal power plants and pivot to renewables!! #ClimateCommitment #EndCoal

#Pa…",2021-02-08 10:55:29,0.0,1.0,0.0,0.0
FRIDAY4FUTURE,"RT @dw_environment: Rapeseed can be used as a non-toxic pesticide, and corn can be used as a non-plastic packaging material. Sustainable bi…",2021-02-08 10:55:25,0.0,1.0,0.0,0.0
FRIDAY4FUTURE,"RT @sumuelahi: Yacouba Sawadogo | Champions of the Earth ⁦⁦@UNEP⁩ 

Yacouba Sawadogo from Burkina Faso has been working since the early 198…",2021-02-08 10:55:20,0.0,0.861,0.139,0.5267
FRIDAY4FUTURE,"RT @dw_environment: Trees are drying out in Berlin because of below average rainfall, but a neighbourhood watering initiative from @citylab…",2021-02-08 10:55:13,0.0,1.0,0.0,0.0
AMNESTY,"Germain Rukuki has risked everything to campaign against torture in Burundi. Because of his human rights work, he is serving a 32-year prison sentence. 

Take action now and demand his release: https://t.co/PtjnKus5v1 #W4R20📢✍️ https://t.co/sQlZYndpip",2021-02-19 14:48:01,0.241,0.729,0.03,-0.8519
AMNESTY,"Mya Thwe Thwe Khaing's tragic death is the devastating consequence of the security forces' reckless use of lethal weapons against peaceful protesters.

The Myanmar military authorities should launch a prompt, thorough, independent and impartial investigation into her killing. https://t.co/SIiEAUHoOW",2021-02-19 12:45:01,0.394,0.511,0.095,-0.9552
AMNESTY,Facebook must immediately reverse this decision to block access to news content for its users in Australia. This is a threat to human rights. https://t.co/A9HlFmjfLl 📢,2021-02-18 17:17:00,0.208,0.792,0.0,-0.743
AMNESTY,RT @Sikulandro: Renowned Rwandan singer and peace activist Kizito Mihigo was found dead in police custody on 17 February 2020. #Rwandan aut…,2021-02-18 17:00:57,0.155,0.719,0.126,-0.2023
AMNESTY,"RT @AmnestyEARO: A year ago today, @RwandaPolice announced that Kizito Mihigo had been found dead in custody. A flawed investigation conclu…",2021-02-18 16:57:46,0.28,0.72,0.0,-0.8126
AMNESTY,RT @OPokalchuk: Anastasiya Shevchenko - the first person charged under the Russian law on 'undesirable organisations' - received a suspende…,2021-02-18 16:20:14,0.207,0.793,0.0,-0.5719
AMNESTY,RT @vanessatsehaye: The humanitarian situation in #Tigray is extremely dire. Let's continue pressuring @AbiyAhmedAli to immediately #AllowA…,2021-02-18 16:19:24,0.275,0.725,0.0,-0.6901
AMNESTY,"Erzbieta, Anna and Joanna are being punished for expressing their views exercising their freedom of speech. No one should end up in prison because of a poster. #Poland https://t.co/q0vsQvRqjU",2021-02-18 14:48:01,0.225,0.663,0.111,-0.5106
AMNESTY,"Good news in #NewZealand 👏 🎉
Access to education and healthcare is a right. Period. https://t.co/k0z8gJtK9t",2021-02-18 14:30:01,0.0,0.741,0.259,0.6808
AMNESTY,"Humanitarian access to #Tigray continues to be heavily restricted, putting millions of people in need at risk. Take action and demand that @AbiyAhmedAli immediately allows full humanitarian access to Tigray. We demand #AllowAccessToTigray now. https://t.co/m3M8IWhdII",2021-02-18 13:28:30,0.199,0.801,0.0,-0.6908
AMNESTY,"RT @GemmaFox__: @amnesty response to #Facebook blocking news sites in #Australia from being shared on its platform -&gt;

“Facebook’s action s…",2021-02-18 12:06:26,0.108,0.792,0.1,-0.0516
AMNESTY,RT @rihanna: Peaceful protest is a human right!! #EndSARS https://t.co/znkoFpcw5i,2021-02-18 09:55:10,0.145,0.58,0.275,0.4184
AMNESTY,"The Sri Lankan Government has launched a renewed crackdown on dissent, curtailing civil society freedom and obstructing efforts to deliver justice for conflict-era crimes.

Our new report: https://t.co/QDYTpTPN9Q 📢 https://t.co/n6QcSQAj11",2021-02-18 02:30:14,0.0,0.748,0.252,0.8442
AMNESTY,"Right now, journalist Khaled Drareni is serving a two-year prison sentence for his work documenting protests in Algeria. His liberty has been taken away as punishment for his work as a journalist. 

Take action to demand his freedom now: https://t.co/0HJJi4rXLd #W4R20 📢✍️ https://t.co/JFavJ1a4HT",2021-02-17 15:46:22,0.174,0.669,0.157,0.0
AMNESTY,Iranian authorities’ flogging of Hadi Rostami is a gruesome reminder of the cruelty of Iran’s seriously flawed justice system. https://t.co/YkfdrCTCjT,2021-02-17 15:40:00,0.31,0.569,0.121,-0.6486
AMNESTY,"For 10 years, accountability and justice in #Libya were sacrificed in the name of peace and stability. Neither were achieved. 

Unless those responsible for violations are brought to justice, the systematic human rights abuses and endless suffering in Libya will continue. https://t.co/ieKDbSssiL",2021-02-17 08:00:19,0.175,0.607,0.218,0.3612
AMNESTY,No one should face criminal prosecution only for expressing themselves on social media or for singing something that may be distasteful or shocking. Expressions that do not clearly and directly incite violence cannot be criminalized. https://t.co/S9Iu7vh3c7,2021-02-16 15:50:01,0.373,0.627,0.0,-0.9506
AMNESTY,"Pablo Hasél's imprisonment is an excessive and disproportionate restriction on his freedom of expression, but he is not alone in suffering the consequences of unjust laws. https://t.co/eN2rr75lyc",2021-02-16 14:35:48,0.166,0.61,0.223,0.2596
AMNESTY,"Belarus authorities must stop continuing harassment &amp; persecution of civil society after searches of #Human Rights Centre Viasna, #Belarusian Association of Journalists, TUs and independent journalists this morning. Release all those detained immediately &amp; end state lawlessness.",2021-02-16 12:15:44,0.198,0.802,0.0,-0.8126
AMNESTY,RT @AmnestyNigeria: The Nigerian government has displayed what can only be described as gross incompetence and has failed in its duty to pr…,2021-02-16 08:44:39,0.327,0.673,0.0,-0.8658
NBA,"Tune in to today's #BlackHistoryMonth Roundtable: The Movement for Racial Justice at 12pm/et on @NBA as @EtanThomas36 discusses confronting systemic racism and driving real change with @MCONLEY10 of the @utahjazz, @SacramentoKings' @hbarnes and @WNBA vet @SydJColson. https://t.co/iRViNLMnSr",2021-02-19 15:00:01,0.132,0.789,0.079,-0.3182
NBA,"RT @NBAAllStar: 2021 #NBAAllStar Game starters revealed!
Lakers’ LeBron James and Nets’ Kevin Durant tabbed as team captains for the 70th A…",2021-02-19 14:47:26,0.0,1.0,0.0,0.0
NBA,"⚡️ #NBAAllStar Captains &amp; Starters Announcement!

All of All-Star in one night... Sunday, March 7 with coverage beginning at 5:00 PM ET on TNT. 
https://t.co/RMsLrEtBnw",2021-02-19 14:45:25,0.0,1.0,0.0,0.0
NBA,"The Beard helps the @BrooklynNets defeat LAL for their 5th straight win! #BrooklynTogether 

@JHarden13: 23 PTS, 11 AST https://t.co/NtmDjctCu0",2021-02-19 14:15:03,0.113,0.564,0.323,0.68
NBA,"Jimmy Butler and Bam Adebayo become the first pair of teammates in NBA history to both record triple-doubles in the same game on multiple occasions.

@JimmyButler: 13 PTS, 10 REB, 13 AST
@Bam1of1: 16 PTS, 12 REB, 10 AST
https://t.co/gxOd6vtnXd",2021-02-19 14:01:02,0.0,1.0,0.0,0.0
NBA,"Norman Powell (29 PTS) and Pascal Siakam (27 PTS) push the @Raptors past Milwaukee! #WeTheNorth 
https://t.co/3lTwCeXHhy",2021-02-19 13:45:03,0.0,1.0,0.0,0.0
NBA,LeBron attacks the rim to lead Thursday's TOP 5 PLAYS! https://t.co/2ZUvM5yByA,2021-02-19 13:30:00,0.176,0.486,0.338,0.3935
NBA,The @Raptors @BrooklynNets &amp; @MiamiHEAT each won on the road Thursday night! https://t.co/saisoXfDn3,2021-02-19 13:15:05,0.0,0.75,0.25,0.6114
NBA,"Join us in wishing Nikola Jokic of the @nuggets a HAPPY 26th BIRTHDAY!

#NBABDAY #MileHighBasketball https://t.co/NsNWcc0lRN",2021-02-19 13:01:08,0.0,0.596,0.404,0.8327
